Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP,ERA,WHIP,SO9,IF/FB,GO/AO
2005,30,1141,29.2,4.59,4862,38.32,34.21,4.59,9.05,6.02,1.82,0.18,1.03,4.37,0.53,0.22,3.13,6.30,0.264,0.330,0.419,0.749,14.33,0.80,0.37,0.33,0.27,0.25,27.15,4.28,1.369,6.4,0.109,1.153
2004,30,1136,29.3,4.81,4856,38.83,34.46,4.81,9.17,6.03,1.84,0.18,1.12,4.58,0.53,0.23,3.34,6.55,0.266,0.335,0.428,0.763,14.74,0.78,0.38,0.36,0.28,0.28,27.07,4.46,1.400,6.6,0.107,1.171
2003,30,1134,29.2,4.73,4860,38.57,34.31,4.73,9.07,5.99,1.82,0.19,1.07,4.50,0.53,0.23,3.27,6.34,0.264,0.333,0.422,0.755,14.48,0.79,0.38,0.33,0.27,0.27,27.17,4.39,1.383,6.4,0.118,1.181
2002,30,1101,29.2,4.62,4852,38.46,34.13,4.62,8.92,5.90,1.79,0.19,1.04,4.40,0.57,0.26,3.35,6.47,0.261,0.331,0.417,0.748,14.22,0.79,0.36,0.34,0.29,0.30,26.91,4.27,1.376,6.5,0.133,1.154
2001,30,1137,29.2,4.78,4858,38.49,34.22,4.78,9.03,5.91,1.81,0.19,1.12,4.55,0.64,0.29,3.25,6.67,0.264,0.332,0.427,0.759,14.60,0.75,0.39,0.33,0.29,0.28,26.72,4.41,1.379,6.7,0.134,1.129
2000,30,1132,29.1,5.14,4858,39.16,34.44,5.14,9.31,6.11,1.83,0.20,1.17,4.89,0.60,0.27,3.75,6.45,0.270,0.345,0.437,0.782,15.05,0.80,0.32,0.34,0.31,0.25,27.13,4.76,1.468,6.5,0.125,1.133
1999,30,1116,28.9,5.08,4856,39.06,34.42,5.08,9.33,6.20,1.80,0.19,1.14,4.83,0.70,0.31,3.68,6.41,0.271,0.345,0.434,0.778,14.93,0.79,0.33,0.33,0.30,0.23,27.17,4.70,1.463,6.5,0.135,1.135
1998,30,1097,28.9,4.79,4864,38.71,34.36,4.79,9.15,6.13,1.80,0.18,1.04,4.54,0.68,0.31,3.38,6.56,0.266,0.335,0.420,0.755,14.44,0.76,0.33,0.35,0.29,0.22,27.05,4.42,1.403,6.6,0.138,1.155
1997,28,1051,28.9,4.77,4532,38.73,34.30,4.77,9.15,6.17,1.77,0.19,1.02,4.52,0.73,0.35,3.46,6.61,0.267,0.337,0.419,0.756,14.38,0.76,0.32,0.35,0.31,0.26,26.98,4.38,1.412,6.7,0.166,1.174
1996,28,905,28.8,5.04,4534,39.10,34.58,5.04,9.33,6.29,1.76,0.19,1.09,4.76,0.71,0.30,3.55,6.46,0.270,0.340,0.427,0.767,14.76,0.80,0.31,0.34,0.31,0.30,27.34,4.60,1.440,6.5,0.177,1.17
