Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP,ERA,WHIP,SO9,IF/FB,GO/AO
1932,34,842,27.8,4.85,3049,38.61,34.82,4.85,9.56,6.91,1.73,0.44,0.48,4.43,0.46,0.27,2.96,2.58,0.275,0.334,0.391,0.725,13.61,,0.14,0.67,,0.12,31.76,4.12,1.414,3.4,,1.047
1931,22,637,28.2,4.83,2678,38.80,34.92,4.83,9.66,7.02,1.79,0.43,0.42,4.46,0.46,0.35,3.11,2.95,0.277,0.339,0.389,0.728,13.58,,0.16,0.59,,0.14,31.55,4.13,1.442,3.3,,1.06
1930,25,688,27.9,5.49,3043,38.83,34.74,5.49,10.15,7.21,1.82,0.53,0.59,5.08,0.50,0.26,3.06,2.61,0.292,0.352,0.426,0.778,14.79,,0.14,0.86,,0.09,31.54,4.80,1.501,3.5,,1.101
1929,29,786,28.2,5.33,3391,38.49,34.26,5.33,9.92,7.16,1.75,0.47,0.54,4.90,0.64,0.30,3.24,2.06,0.289,0.354,0.416,0.769,14.24,,0.16,0.80,,0.10,31.66,4.54,1.494,3.2,,1.119
1928,29,783,28.0,4.84,3235,38.34,34.18,4.84,9.61,7.05,1.65,0.46,0.45,4.42,0.59,0.30,2.97,2.19,0.281,0.342,0.395,0.738,13.52,,0.22,0.92,,0.10,31.54,4.07,1.418,3.1,,1.122
1927,31,821,28.0,4.84,3552,37.99,33.88,4.84,9.56,7.10,1.59,0.47,0.40,4.41,0.63,0.33,3.01,1.94,0.282,0.344,0.392,0.736,13.29,,0.17,0.90,,0.09,31.54,4.02,1.422,3.1,,1.126
1926,32,838,28.1,4.83,3419,38.08,33.71,4.83,9.43,6.96,1.61,0.47,0.39,4.37,0.68,0.33,3.15,2.03,0.280,0.346,0.390,0.736,13.15,,0.25,0.94,,0.06,31.29,4.07,1.429,3.1,,1.153
1925,32,848,27.7,5.24,3502,38.52,34.50,5.24,9.94,7.30,1.66,0.48,0.50,4.76,0.68,0.31,3.13,1.90,0.288,0.350,0.407,0.757,14.05,,0.14,0.73,,0.08,32.10,4.56,1.475,3.0,,1.08
1924,33,867,27.5,4.91,3426,38.31,34.31,4.91,9.71,7.30,1.57,0.48,0.36,4.38,0.69,0.36,2.94,1.94,0.283,0.343,0.388,0.732,13.31,,0.22,0.79,,0.09,32.01,4.10,1.424,3.1,,1.091
1923,30,800,27.7,5.02,3299,38.87,34.40,5.02,9.76,7.33,1.55,0.47,0.41,4.48,0.68,0.38,3.01,2.13,0.284,0.346,0.392,0.737,13.47,,0.25,1.16,,,31.86,4.05,1.435,3.1,,1.106
1922,24,654,28.0,5.00,3037,38.83,34.38,5.00,9.84,7.34,1.57,0.50,0.43,4.46,0.67,0.38,2.94,2.29,0.286,0.347,0.399,0.746,13.71,,0.25,1.22,,,31.66,4.15,1.433,3.1,,1.132
1921,24,668,27.8,4.89,3131,38.70,34.37,4.89,9.82,7.38,1.53,0.55,0.36,4.32,0.73,0.42,2.77,2.22,0.286,0.344,0.394,0.737,13.53,,0.27,1.23,,,31.79,3.99,1.410,3.1,,1.125
1920,24,673,27.7,4.39,2982,38.29,33.93,4.39,9.25,7.11,1.41,0.49,0.24,3.78,0.74,0.52,2.81,2.43,0.273,0.333,0.365,0.697,12.37,,0.24,1.25,,,31.26,3.47,1.344,3.2,,1.168
1919,16,479,28.1,3.88,2236,37.61,33.40,3.88,8.78,6.80,1.31,0.47,0.20,3.32,0.93,,2.68,3.06,0.263,0.322,0.348,0.670,11.62,,0.24,1.22,,,30.14,3.07,1.272,3.1,,1.185
1918,16,489,28.1,3.63,2032,37.46,33.13,3.63,8.41,6.71,1.14,0.44,0.12,3.06,0.99,,2.83,2.92,0.254,0.317,0.325,0.642,10.77,,0.23,1.20,,,30.09,2.77,1.239,2.9,,1.204
1917,16,490,27.3,3.59,2494,37.21,32.90,3.59,8.18,6.42,1.17,0.46,0.13,3.04,0.97,,2.77,3.48,0.249,0.311,0.324,0.635,10.66,,0.23,1.23,,,29.29,2.68,1.210,3.5,,1.198
1916,16,527,27.2,3.56,2494,37.15,32.85,3.56,8.13,6.32,1.20,0.46,0.15,3.02,1.10,0.34,2.84,3.82,0.248,0.312,0.326,0.638,10.71,,0.26,1.13,,,28.88,2.72,1.217,3.8,,1.207
1915,24,733,27.3,3.81,3728,37.15,32.65,3.81,8.17,6.31,1.22,0.47,0.17,3.21,1.10,0.55,2.98,3.76,0.250,0.318,0.332,0.650,10.85,,0.27,1.19,,,28.72,2.90,1.248,3.8,,1.207
1914,24,740,27.2,3.87,3758,37.06,32.62,3.87,8.28,6.40,1.23,0.46,0.19,3.25,1.22,0.36,2.97,3.93,0.254,0.321,0.337,0.659,11.01,,0.26,1.11,,,28.50,2.91,1.261,4.0,,1.161
1913,16,582,26.8,4.04,2468,37.28,32.91,4.04,8.52,6.58,1.24,0.51,0.19,3.38,1.32,0.50,2.94,3.76,0.259,0.325,0.345,0.670,11.36,,0.28,1.03,,,28.96,3.07,1.285,3.9,,
1912,16,604,26.8,4.53,2464,37.93,33.30,4.53,8.94,6.85,1.36,0.55,0.18,3.81,1.38,0.54,3.12,3.93,0.269,0.337,0.359,0.695,11.94,,0.29,1.12,,,29.19,3.37,1.355,4.0,,
1911,16,535,27.1,4.51,2474,38.09,33.25,4.51,8.86,6.80,1.32,0.53,0.21,3.77,1.38,,3.17,3.99,0.266,0.336,0.357,0.693,11.87,,0.34,1.17,,,29.05,3.36,1.352,4.0,,
1910,16,508,27.3,3.83,2498,37.31,32.65,3.83,8.14,6.41,1.13,0.46,0.14,3.15,1.31,,2.97,3.87,0.249,0.318,0.326,0.644,10.63,,0.32,1.21,,,28.64,2.77,1.243,3.9,,
1909,16,504,27.6,3.54,2482,36.89,32.48,3.54,7.92,6.35,1.07,0.40,0.10,2.87,1.23,,2.62,3.78,0.244,0.306,0.311,0.618,10.11,,0.31,1.26,,,28.60,2.53,1.184,3.8,,
1908,16,440,28.6,3.38,2488,36.62,32.43,3.38,7.75,6.23,1.01,0.40,0.11,2.74,1.09,,2.36,3.65,0.239,0.297,0.305,0.602,9.89,,0.31,1.30,,,28.67,2.37,1.137,3.7,,
1907,16,419,28.7,3.52,2466,36.64,32.56,3.52,7.99,6.50,1.00,0.39,0.10,2.87,1.13,,2.47,3.58,0.245,0.305,0.309,0.614,10.07,,0.30,1.06,,,28.88,2.50,1.190,3.6,,
1906,16,412,28.6,3.62,2454,36.71,32.62,3.62,8.04,6.45,1.07,0.41,0.11,2.97,1.22,,2.51,3.71,0.247,0.306,0.314,0.621,10.25,,0.30,1.10,,,28.80,2.66,1.196,3.8,,
1905,16,390,28.7,3.89,2474,37.11,33.08,3.89,8.20,6.45,1.16,0.45,0.14,3.21,1.19,,2.50,3.85,0.248,0.307,0.323,0.630,10.68,,0.33,1.01,,,29.09,2.82,1.205,3.9,,
1904,16,364,28.5,3.73,2496,36.67,33.05,3.73,8.16,6.43,1.14,0.46,0.13,3.04,1.11,,2.24,3.73,0.247,0.301,0.321,0.622,10.62,,0.31,0.89,,,29.19,2.66,1.186,3.8,,
1903,16,368,28.4,4.44,2228,37.66,33.86,4.44,8.88,6.85,1.36,0.52,0.15,3.66,1.23,,2.41,3.55,0.262,0.317,0.346,0.664,11.73,,0.33,0.90,,,30.16,3.11,1.284,3.6,,
1902,16,390,28.3,4.44,2230,37.92,34.21,4.44,9.13,7.26,1.27,0.44,0.16,3.70,1.20,,2.44,2.97,0.267,0.322,0.344,0.665,11.75,,0.32,0.82,,,31.08,3.17,1.307,3.0,,
1901,16,371,28.1,4.99,2218,38.47,34.76,4.99,9.45,7.36,1.32,0.56,0.21,4.12,1.29,,2.46,3.15,0.272,0.327,0.360,0.686,12.50,,0.37,0.75,,,31.40,3.49,1.352,3.2,,
1900,8,188,28.5,5.22,1136,38.28,34.45,5.22,9.62,7.61,1.26,0.53,0.22,4.33,1.48,,2.67,2.36,0.279,0.339,0.366,0.705,12.62,,0.45,0.71,,,31.87,3.69,1.408,2.4,,
1899,12,310,28.0,5.25,1842,38.01,34.12,5.25,9.63,7.70,1.19,0.55,0.19,4.34,1.45,,2.70,2.09,0.282,0.343,0.366,0.710,12.50,,0.47,0.72,,,31.84,3.85,1.430,2.2,,
1898,12,299,28.1,4.96,1840,38.02,34.05,4.96,9.21,7.43,1.13,0.49,0.16,4.15,1.12,,2.77,2.30,0.271,0.334,0.347,0.681,11.82,,0.47,0.73,,,31.59,3.60,1.382,2.4,,
1897,12,263,28.1,5.91,1614,39.20,35.11,5.91,10.24,7.97,1.44,0.60,0.23,4.97,1.68,,2.93,2.31,0.292,0.354,0.386,0.740,13.55,,0.46,0.70,,,32.57,4.30,1.518,2.4,,
1896,12,272,28.1,6.04,1584,39.29,35.09,6.04,10.19,7.92,1.37,0.64,0.26,5.08,1.93,,3.06,2.22,0.290,0.354,0.387,0.742,13.59,,0.40,0.73,,,32.61,4.36,1.526,2.3,,
1895,12,284,27.9,6.60,1594,39.88,35.63,6.60,10.56,8.11,1.51,0.63,0.31,5.52,1.82,,3.21,2.27,0.296,0.361,0.400,0.761,14.24,,0.42,0.63,,,33.05,4.77,1.590,2.4,,
1894,12,264,27.8,7.39,1596,40.86,36.08,7.39,11.16,8.24,1.72,0.81,0.39,6.26,1.97,,3.68,2.09,0.309,0.379,0.435,0.814,15.69,,0.38,0.72,,,33.60,5.33,1.712,2.2,,
1893,12,260,27.8,6.57,1570,40.56,36.24,6.57,10.14,7.78,1.40,0.67,0.29,5.45,1.75,,3.91,2.13,0.280,0.356,0.379,0.736,13.75,,0.41,,,,33.82,4.66,1.591,2.2,,
1892,12,265,27.5,5.11,1836,38.46,34.79,5.11,8.52,6.65,1.09,0.55,0.23,4.01,1.74,,3.36,3.25,0.245,0.317,0.328,0.644,11.39,,0.31,,,,31.31,3.28,1.355,3.3,,
1891,17,359,27.3,5.70,2216,39.12,35.05,5.70,8.89,6.87,1.19,0.57,0.26,4.50,1.88,,3.63,3.45,0.254,0.331,0.343,0.674,12.02,,0.44,,,,31.34,3.53,1.426,3.5,,
1890,25,510,27.0,6.02,3218,39.25,35.19,6.02,9.16,7.02,1.31,0.59,0.24,4.58,2.14,,3.64,2.05,0.260,0.337,0.351,0.688,12.36,,0.42,,,,32.90,3.88,1.461,3.5,,
1889,16,322,26.8,5.97,2176,38.86,35.15,5.97,9.27,7.07,1.39,0.50,0.31,4.70,2.21,,3.36,3.52,0.264,0.334,0.358,0.692,12.57,,0.35,,,,31.32,3.93,1.442,3.6,,
1888,16,332,26.8,4.88,2180,37.15,34.61,4.88,8.26,6.42,1.12,0.48,0.24,3.69,2.41,,2.17,3.77,0.239,0.291,0.320,0.611,11.07,,0.38,,,,30.60,2.95,1.180,3.8,,
1887,16,316,26.7,6.35,2112,38.61,35.39,6.35,9.58,7.17,1.46,0.66,0.29,4.92,3.00,,2.87,2.80,0.271,0.332,0.374,0.705,13.23,,0.35,,,,32.30,4.17,1.430,2.9,,
1886,16,325,26.8,5.49,2098,37.55,34.76,5.49,8.57,6.54,1.28,0.55,0.20,3.93,1.55,,2.65,2.02,0.246,0.303,0.332,0.634,11.54,,0.15,,,,32.54,3.37,1.288,4.5,,
1885,16,321,26.7,5.22,1780,37.41,35.24,5.22,8.60,6.65,1.23,0.54,0.18,3.64,,,1.98,1.87,0.244,0.288,0.325,0.613,11.46,,0.19,,,,33.19,3.03,1.198,3.8,,
1884,33,640,25.5,5.45,3074,37.32,35.56,5.45,8.65,6.62,1.31,0.50,0.22,,,,1.61,1.41,0.243,0.279,0.327,0.606,11.63,,0.15,,,,33.93,3.11,1.170,5.0,,
1883,16,258,26.4,5.75,1570,38.21,36.73,5.75,9.44,7.11,1.58,0.60,0.15,,,,1.48,1.83,0.257,0.286,0.345,0.631,12.69,,,,,,34.75,3.22,1.236,3.4,,
1882,14,229,25.8,5.33,1142,37.84,36.45,5.33,9.05,6.92,1.42,0.55,0.16,,,,1.39,1.89,0.248,0.276,0.330,0.606,12.02,,,,,,34.40,2.80,1.175,3.0,,
1881,8,120,25.7,5.10,672,37.81,36.28,5.10,9.43,7.28,1.59,0.45,0.11,3.70,,,1.54,2.65,0.260,0.290,0.338,0.628,12.27,,,,,,33.52,2.77,1.230,2.7,,
1880,8,127,24.8,4.69,680,36.83,35.74,4.69,8.74,6.73,1.44,0.48,0.09,3.27,,,1.09,2.93,0.245,0.267,0.320,0.587,11.42,,,,,,32.72,2.37,1.108,3.0,,
1879,8,119,24.7,5.31,642,38.42,37.62,5.31,9.61,7.54,1.49,0.49,0.09,3.67,,,0.79,2.87,0.255,0.271,0.329,0.599,12.36,,,,,,34.66,2.50,1.152,2.9,,
1878,6,77,24.7,5.17,368,38.07,37.08,5.17,9.62,7.89,1.31,0.36,0.06,3.62,,,0.99,2.94,0.259,0.279,0.319,0.598,11.83,,,,,,34.08,2.30,1.174,2.9,,
1877,6,92,25.9,5.67,360,38.92,37.96,5.67,10.29,8.45,1.20,0.57,0.07,3.92,,,0.96,2.02,0.271,0.289,0.338,0.627,12.82,,,,,,35.87,2.81,1.250,2.0,,
1876,8,121,25.3,5.90,520,39.34,38.69,5.90,10.27,8.62,1.22,0.35,0.08,3.82,,,0.65,1.13,0.265,0.277,0.321,0.598,12.41,,,,,,37.48,2.31,1.197,1.1,,
1875,13,188,24.7,6.14,690,39.25,38.89,6.14,9.87,8.19,1.22,0.40,0.06,3.93,0.91,0.46,0.36,0.98,0.254,0.261,0.310,0.571,12.05,0.21,,,,,37.85,2.23,1.141,1.0,,
1874,8,120,25.0,7.48,464,41.69,41.17,7.48,11.26,9.38,1.37,0.42,0.09,4.85,0.52,0.21,0.51,0.77,0.273,0.282,0.333,0.616,13.72,0.23,,,,,40.31,2.19,1.310,0.8,,
1873,9,122,24.0,8.99,398,43.45,42.61,8.99,12.38,10.30,1.43,0.53,0.12,5.86,0.79,0.33,0.84,0.70,0.290,0.304,0.357,0.661,15.22,0.31,,,,,41.79,3.40,1.468,0.7,,
1872,11,143,23.5,9.26,366,43.52,42.80,9.26,12.20,10.11,1.59,0.40,0.10,5.83,0.73,0.37,0.72,0.72,0.285,0.297,0.348,0.645,14.89,0.27,,,,,41.98,3.65,1.439,0.7,,
1871,9,115,23.8,10.47,254,44.15,42.61,10.47,12.21,9.37,1.71,0.94,0.19,7.02,1.74,0.48,1.55,0.69,0.287,0.312,0.384,0.695,16.35,0.29,,,,,41.73,4.22,1.553,0.7,,
