Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
2011,30,1173,28.7,4.28,4858,185245,165705,20808,42267,28418,8399,898,4552,19804,3279,1261,15018,34488,0.255,0.321,0.399,0.72,66118,3523,1554,1667,1274,1231,127939
2010,30,1157,28.9,4.38,4860,185553,165353,21308,42554,28589,8486,866,4613,20288,2959,1129,15778,34306,0.257,0.325,0.403,0.728,66611,3719,1549,1544,1301,1216,127735
2009,30,1156,28.9,4.61,4860,187079,165849,22419,43524,28796,8737,949,5042,21364,2970,1133,16620,33591,0.262,0.333,0.418,0.751,69285,3796,1590,1635,1366,1179,128582
2008,30,1188,28.8,4.65,4856,187631,166714,22585,43972,29194,9014,886,4878,21541,2799,1035,16337,32884,0.264,0.333,0.416,0.749,69392,3883,1672,1526,1365,1310,130317
2007,30,1173,29.1,4.8,4862,188623,167783,23322,44977,29885,9197,938,4957,22257,2918,1002,16079,32189,0.268,0.336,0.423,0.758,70921,3983,1755,1540,1441,1323,132078
2006,30,1134,29.2,4.86,4858,188071,167341,23599,45073,29600,9135,952,5386,22491,2767,1110,15847,31655,0.269,0.337,0.432,0.768,72270,3945,1817,1651,1396,1410,131696
2005,30,1141,29.2,4.59,4862,186292,166335,22325,43991,29223,8863,888,5017,21248,2565,1069,15207,30644,0.264,0.33,0.419,0.749,69681,3908,1797,1620,1315,1216,131989
2004,30,1136,29.3,4.81,4856,188539,167353,23376,44522,29254,8919,898,5451,22248,2589,1100,16222,31828,0.266,0.335,0.428,0.763,71590,3784,1850,1731,1363,1381,131437
2003,30,1134,29.2,4.73,4860,187449,166737,22978,44057,29089,8827,934,5207,21886,2573,1132,15889,30801,0.264,0.333,0.422,0.755,70373,3850,1849,1626,1336,1316,132065
2002,30,1101,29.2,4.62,4852,186615,165582,22408,43272,28592,8700,921,5059,21332,2750,1282,16246,31394,0.261,0.331,0.417,0.748,68991,3845,1746,1633,1399,1452,130528
2001,30,1137,29.2,4.78,4858,186976,166234,23199,43879,28680,8813,928,5458,22088,3103,1408,15806,32404,0.264,0.332,0.427,0.759,70922,3653,1890,1607,1424,1384,129796
2000,30,1132,29.1,5.14,4858,190261,167290,24971,45246,29700,8901,952,5693,23735,2924,1323,18237,31356,0.27,0.345,0.437,0.782,73130,3892,1573,1628,1514,1210,131755
1999,30,1116,28.9,5.08,4856,189692,167137,24691,45327,30128,8740,931,5528,23461,3421,1519,17891,31119,0.271,0.345,0.434,0.778,72513,3841,1579,1604,1464,1107,131954
1998,30,1097,28.9,4.79,4864,188280,167116,23297,44489,29785,8741,899,5064,22080,3284,1505,16447,31893,0.266,0.335,0.42,0.755,70220,3704,1587,1705,1402,1067,131561
1997,28,1051,28.9,4.77,4532,175543,155438,21604,41471,27944,8004,883,4640,20468,3308,1564,15666,29937,0.267,0.337,0.419,0.756,65161,3440,1449,1577,1383,1169,122244
1996,28,905,28.8,5.04,4534,177263,156801,22831,42320,28516,7987,855,4962,21570,3239,1343,16093,29308,0.27,0.34,0.427,0.767,66903,3609,1404,1544,1400,1343,123931
1995,28,901,28.6,4.85,4034,156704,138571,19554,36975,25112,6958,824,4081,18436,2933,1257,14240,25425,0.267,0.338,0.417,0.755,57824,3145,1219,1488,1173,1105,110238
1994,28,782,28.7,4.92,3200,124483,110266,15752,29743,20012,5723,702,3306,14858,2258,1032,11131,19766,0.27,0.339,0.424,0.763,46788,2442,876,1207,992,1008,88186
1993,28,900,28.4,4.6,4538,174564,154995,20864,41088,28669,7449,940,4030,19596,3263,1660,15110,26310,0.265,0.332,0.403,0.736,62507,3431,1200,1811,1430,1477,126085
1992,26,806,28.4,4.12,4212,160545,142895,17341,36544,26098,6563,845,3038,16282,3264,1601,13682,23538,0.256,0.322,0.377,0.7,53911,3109,980,1665,1294,1315,117613
1991,26,816,28.4,4.31,4208,160746,142968,18127,36558,25782,6499,894,3383,17048,3120,1567,13984,24390,0.256,0.323,0.385,0.708,54994,3021,905,1624,1249,1228,116444
1990,26,809,28.4,4.26,4210,160316,142768,17919,36817,26109,6526,865,3317,16804,3290,1510,13852,23853,0.258,0.325,0.385,0.71,55024,3077,861,1559,1261,1384,116859
1989,26,797,28.5,4.13,4212,160033,142821,17405,36293,26035,6307,868,3083,16229,3116,1441,13528,23650,0.254,0.32,0.375,0.695,53585,3064,801,1626,1240,1446,117328
1988,26,769,28.3,4.14,4200,159380,142568,17380,36244,25838,6386,840,3180,16219,3301,1418,12984,23355,0.254,0.318,0.378,0.696,53850,3087,918,1630,1265,1367,117298
1987,26,796,28.3,4.72,4210,161922,144095,19883,37895,25748,6793,896,4458,18713,3585,1529,14389,25099,0.263,0.331,0.415,0.747,59854,3124,842,1455,1110,1287,115648
1986,26,771,28.7,4.41,4206,160858,143106,18545,36880,25701,6511,855,3813,17396,3312,1620,14227,24706,0.258,0.326,0.395,0.721,56540,3119,812,1515,1175,1289,115762
1985,26,750,28.8,4.33,4206,160320,143075,18216,36778,25788,6423,965,3602,17129,3097,1431,13838,22451,0.257,0.323,0.391,0.714,55937,3293,699,1549,1144,1337,118166
1984,26,762,28.6,4.26,4210,160566,143829,17921,37381,26925,6213,985,3258,16778,3032,1511,13320,22500,0.26,0.323,0.385,0.708,55338,3193,668,1435,1286,1270,119357
1983,26,782,28.7,4.31,4218,160615,143538,18170,37443,26646,6463,1033,3301,17067,3325,1619,13518,21716,0.261,0.325,0.389,0.714,55875,3296,717,1561,1256,1379,119777
1982,26,743,28.7,4.3,4214,161104,144149,18110,37651,26992,6316,964,3379,17019,3176,1617,13302,21221,0.261,0.324,0.389,0.713,56032,3147,677,1740,1221,1319,120770
1981,26,729,28.6,4,2788,105892,94467,11147,24157,17717,4000,659,1781,10451,2021,1100,8868,13237,0.256,0.32,0.369,0.689,34818,2208,464,1252,829,895,80278
